Strike,Contract Name,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Type,Expiry
90,AAPL170224C00090000,41.66,41.9,42.4,0,0.00%,246,0,0.00%,Call,2/24/2017
100,AAPL170224C00100000,32.23,31.9,32.4,0.56,1.77%,35,0,0.00%,Call,2/24/2017
102,AAPL170224C00102000,32.82,0,0,0,0.00%,5,0,0.00%,Call,2/24/2017
104,AAPL170224C00104000,18.11,17.55,18.05,2.6,16.76%,5,5,0.00%,Call,2/24/2017
105,AAPL170224C00105000,26.6,26.95,27.4,0,0.00%,4,0,0.00%,Call,2/24/2017
106,AAPL170224C00106000,25.6,25.95,26.4,0,0.00%,3,0,0.00%,Call,2/24/2017
107,AAPL170224C00107000,24.6,24.95,25.45,0,0.00%,5,0,0.00%,Call,2/24/2017
108,AAPL170224C00108000,23.6,23.95,24.45,0,0.00%,15,0,0.00%,Call,2/24/2017
109,AAPL170224C00109000,22.6,22.95,23.45,0,0.00%,6,1,0.00%,Call,2/24/2017
110,AAPL170224C00110000,25.5,25.45,25.95,0.3,1.19%,10,113,93.16%,Call,2/24/2017
111,AAPL170224C00111000,20.6,20.95,21.45,0,0.00%,7,0,0.00%,Call,2/24/2017
112,AAPL170224C00112000,19.6,19.95,20.45,0,0.00%,75,0,0.00%,Call,2/24/2017
113,AAPL170224C00113000,22.39,22.45,22.95,3.27,17.10%,10,10,83.11%,Call,2/24/2017
114,AAPL170224C00114000,17.8,17.95,18.45,0,0.00%,735,0,0.00%,Call,2/24/2017
115,AAPL170224C00115000,20.59,20.3,20.65,2.79,15.67%,20,34,0.00%,Call,2/24/2017
116,AAPL170224C00116000,15.8,16,16.4,0,0.00%,550,5,0.00%,Call,2/24/2017
117,AAPL170224C00117000,15.32,15.1,15.3,0,0.00%,7,55,0.00%,Call,2/24/2017
118,AAPL170224C00118000,17.25,17.45,17.95,0,0.00%,2,390,66.60%,Call,2/24/2017
119,AAPL170224C00119000,15.91,0,0,0,0.00%,66,0,0.00%,Call,2/24/2017
120,AAPL170224C00120000,15.45,15.5,15.95,0.2,1.31%,62,206,60.16%,Call,2/24/2017
121,AAPL170224C00121000,14.6,14.5,14.95,0.2,1.39%,2,94,56.84%,Call,2/24/2017
122,AAPL170224C00122000,13.53,13.5,13.95,0.23,1.73%,7,181,53.52%,Call,2/24/2017
123,AAPL170224C00123000,12.55,12.5,12.95,-0.06,-0.48%,5,92,50.29%,Call,2/24/2017
124,AAPL170224C00124000,11.2,11.5,11.95,0,0.00%,100,164,46.97%,Call,2/24/2017
125,AAPL170224C00125000,10.29,10.5,10.95,0,0.00%,21,236,43.75%,Call,2/24/2017
126,AAPL170224C00126000,9.45,9.55,9.9,-0.05,-0.53%,7,"1,023",38.18%,Call,2/24/2017
127,AAPL170224C00127000,8.5,8.6,8.8,-0.02,-0.23%,30,378,29.49%,Call,2/24/2017
128,AAPL170224C00128000,7.55,7.55,7.85,0.15,2.03%,59,533,29.49%,Call,2/24/2017
129,AAPL170224C00129000,6.35,6.55,6.85,0,0.00%,106,"1,582",26.37%,Call,2/24/2017
130,AAPL170224C00130000,5.68,5.55,5.95,0.28,5.19%,379,"1,958",26.81%,Call,2/24/2017
131,AAPL170224C00131000,4.52,4.6,4.9,0.02,0.44%,740,"1,377",21.73%,Call,2/24/2017
132,AAPL170224C00132000,3.76,3.65,3.95,0.17,4.74%,947,"2,755",19.63%,Call,2/24/2017
133,AAPL170224C00133000,2.93,2.87,3,0.1,3.53%,"5,957","7,828",17.04%,Call,2/24/2017
134,AAPL170224C00134000,2.1,2.09,2.15,0.03,1.45%,"2,467","4,805",15.63%,Call,2/24/2017
135,AAPL170224C00135000,1.44,1.41,1.45,-0.01,-0.69%,"8,183","10,177",15.19%,Call,2/24/2017
136,AAPL170224C00136000,0.87,0.87,0.89,-0.11,-11.22%,"11,309","11,575",14.75%,Call,2/24/2017
137,AAPL170224C00137000,0.51,0.51,0.54,-0.13,-20.31%,"8,699","5,328",15.19%,Call,2/24/2017
138,AAPL170224C00138000,0.3,0.28,0.3,-0.1,-25.00%,"7,761","5,299",15.38%,Call,2/24/2017
139,AAPL170224C00139000,0.17,0.17,0.18,-0.09,-34.62%,"1,660","2,473",16.26%,Call,2/24/2017
140,AAPL170224C00140000,0.1,0.09,0.11,-0.06,-37.50%,"3,128","8,784",17.19%,Call,2/24/2017
141,AAPL170224C00141000,0.06,0.06,0.07,-0.05,-45.45%,"2,532","2,561",18.26%,Call,2/24/2017
142,AAPL170224C00142000,0.04,0.04,0.05,-0.03,-42.86%,297,"1,859",19.63%,Call,2/24/2017
143,AAPL170224C00143000,0.03,0.03,0.04,-0.02,-40.00%,401,"1,408",21.29%,Call,2/24/2017
144,AAPL170224C00144000,0.02,0.02,0.03,-0.02,-50.00%,"1,043","1,094",22.46%,Call,2/24/2017
145,AAPL170224C00145000,0.02,0.01,0.03,-0.01,-33.33%,100,981,24.81%,Call,2/24/2017
146,AAPL170224C00146000,0.02,0.01,0.03,0,0.00%,600,"1,182",26.95%,Call,2/24/2017
147,AAPL170224C00147000,0.02,0.01,0.03,-0.01,-33.33%,200,109,28.91%,Call,2/24/2017
