Expiry,t,K,Price
42874,7.00,148,8.149999619
42874,7.00,149,7.289999962
42874,7.00,150,6.309999943
42874,7.00,152.5,4.039999962
42874,7.00,155,2.109999895
42874,7.00,157.5,0.889999986
42874,7.00,160,0.360000014
42874,7.00,162.5,0.159999996
42874,7.00,165,0.100000001
42874,7.00,167.5,0.07
42902,35.00,135,21.26000023
42902,35.00,140,16.5
42902,35.00,145,11.77000046
42902,35.00,150,7.429999828
42902,35.00,155,3.960000038
42902,35.00,160,1.779999971
42902,35.00,165,0.730000019
42902,35.00,170,0.310000002
42902,35.00,175,0.159999996
42902,35.00,180,0.079999998
42937,70.00,135,21.29999924
42937,70.00,140,16.94000053
42937,70.00,145,12.56999969
42937,70.00,150,8.75
42937,70.00,155,5.449999809
42937,70.00,160,3.180000067
42937,70.00,165,1.690000057
42937,70.00,170,0.889999986
42937,70.00,175,0.460000008
42937,70.00,180,0.25
42965,98.00,135,22.42000008
42965,98.00,140,17.5
42965,98.00,145,13.68000031
42965,98.00,150,10.13000011
42965,98.00,155,7.059999943
42965,98.00,160,4.690000057
42965,98.00,165,2.960000038
42965,98.00,170,1.789999962
42965,98.00,175,1.070000052
42965,98.00,180,0.610000014
42993,126.00,135,22
42993,126.00,140,18.29000092
42993,126.00,145,14
42993,126.00,150,10.80000019
42993,126.00,155,7.849999905
42993,126.00,160,5.5
42993,126.00,165,3.700000048
42993,126.00,170,2.420000076
42993,126.00,175,1.539999962
42993,126.00,180,0.959999979
