Expiry,Strike,Original Price
6/12/2017,150.325,1.51
7/12/2017,150.325,2.18
8/12/2017,150.325,2.3
9/12/2017,150.325,2.92
10/12/2017,150.325,3.4
11/12/2017,150.325,3.37
6/12/2017,157.8413,0.05
7/12/2017,157.8413,0.21
8/12/2017,157.8413,0.31
9/12/2017,157.8413,0.62
10/12/2017,157.8413,0.9
11/12/2017,157.8413,0.96
6/12/2017,165.3575,0
7/12/2017,165.3575,0.02
8/12/2017,165.3575,0.03
9/12/2017,165.3575,0.09
10/12/2017,165.3575,0.17
11/12/2017,165.3575,0.2
6/12/2017,172.8737,0
7/12/2017,172.8737,0
8/12/2017,172.8737,0
9/12/2017,172.8737,0.01
10/12/2017,172.8737,0.03
11/12/2017,172.8737,0.04
6/12/2017,180.39,0
7/12/2017,180.39,0
8/12/2017,180.39,0
9/12/2017,180.39,0
10/12/2017,180.39,0.01
11/12/2017,180.39,0.01
6/12/2017,187.9063,0
7/12/2017,187.9063,0
8/12/2017,187.9063,0
9/12/2017,187.9063,0
10/12/2017,187.9063,0
11/12/2017,187.9063,0
