T,K,Price
0.071232877,850,0.45
0.071232877,875,0.6
0.071232877,900,0.15
0.071232877,200,569.8
0.071232877,300,469.95
0.071232877,325,444.95
0.071232877,350,420.05
0.071232877,375,395.15
0.071232877,400,370.25
0.071232877,425,345.35
0.071232877,440,0
0.071232877,450,320.55
0.071232877,475,295.75
0.071232877,490,280.95
0.071232877,500,271.1
0.071232877,525,246.55
0.071232877,530,241.65
0.071232877,540,231.85
0.071232877,540,330.45
0.071232877,550,222.15
0.071232877,560,212.45
0.071232877,575,197.95
0.071232877,580,193.15
0.071232877,590,183.65
0.071232877,600,174.15
0.071232877,605,169.45
0.071232877,610,164.75
0.071232877,615,160.05
0.071232877,620,155.4
0.071232877,625,150.75
0.071232877,630,146
0.071232877,635,141.4
0.071232877,640,136.9
0.071232877,645,132.4
0.071232877,650,127.9
0.071232877,655,123.4
0.071232877,660,119
0.071232877,665,114.6
0.071232877,670,110.3
0.071232877,675,106
0.071232877,680,101.8
0.071232877,685,97.6
0.071232877,690,93.4
0.071232877,695,89.4
0.071232877,700,85.3
0.071232877,705,81.4
0.071232877,710,77.5
0.071232877,715,73.6
0.071232877,720,69.65
0.071232877,725,65.75
0.071232877,730,62.3
0.071232877,735,58.65
0.071232877,740,55.2
0.071232877,745,51.85
0.071232877,750,48.55
0.071232877,755,45.45
0.071232877,760,42.3
0.071232877,765,39.4
0.071232877,770,36.6
0.071232877,775,33.9
0.071232877,780,31.3
0.071232877,785,28.8
0.071232877,790,26.65
0.071232877,795,24.1
0.071232877,800,22.35
0.071232877,805,20.2
0.071232877,810,18.05
0.071232877,815,16.5
0.071232877,820,14.75
0.071232877,825,13.1
0.071232877,830,12
0.071232877,835,10.85
0.071232877,840,9.45
0.071232877,845,8.55
0.071232877,850,7.1
0.071232877,855,6.65
0.071232877,860,5.8
0.071232877,865,4.65
0.071232877,870,4.15
0.071232877,875,3.55
0.071232877,880,3.3
0.071232877,885,2.55
0.071232877,890,2.35
0.071232877,895,2.025
0.071232877,900,1.7
0.071232877,905,1.45
0.071232877,910,1.175
0.071232877,915,1
0.071232877,920,1
0.071232877,925,0.8
0.071232877,930,0.775
0.071232877,935,0.775
0.071232877,940,0.775
0.071232877,945,0.775
0.071232877,950,0.375
0.071232877,955,0.775
0.071232877,960,0.25
0.071232877,965,0.75
0.071232877,970,0.275
0.071232877,975,0.2
0.071232877,980,0.7
0.071232877,985,0.175
0.071232877,990,0.675
0.071232877,995,0.675
0.071232877,1000,0.125
0.071232877,1005,0.65
0.071232877,1010,0.65
0.071232877,1015,0.225
0.071232877,1020,0.65
0.071232877,1025,0.05
0.071232877,1030,0.1
0.071232877,1035,0.075
0.071232877,1040,0.075
0.071232877,1045,0.1
0.071232877,1050,0.05
0.071232877,1055,0.05
0.071232877,1065,0.05
0.071232877,1070,0.05
0.071232877,1075,0.05
0.071232877,1090,0.05
0.071232877,1100,0.05
0.071232877,1125,0.05
0.071232877,1150,0.05
0.071232877,1175,0.05
0.071232877,1180,0.05
0.071232877,1185,0.05
0.071232877,1190,0.05
0.071232877,1195,0.05
0.071232877,1200,0.05
0.071232877,1215,0.05
0.071232877,1225,0.05
0.071232877,1250,0.05
0.071232877,1275,0.05
0.071232877,1300,0.025
0.071232877,1325,0.025
0.071232877,1350,0.025
0.071232877,1375,0.025
0.071232877,1385,0.025
0.071232877,1400,0.025
0.071232877,1425,0.025
0.071232877,1450,0.025
0.071232877,1475,0.025
0.071232877,1500,0.025
0.071232877,1525,0.05
0.071232877,1550,0.05
0.071232877,1575,0.05
0.071232877,1600,0.025
0.071232877,1650,0.05
0.071232877,1700,0.05
0.071232877,1750,0.05
0.071232877,1800,0.05
0.071232877,1850,0.05
0.071232877,1875,0.05
0.071232877,1900,0.05
0.071232877,2000,0.05
0.071232877,400,370.15
0.071232877,425,345.4
0.071232877,450,320.7
0.071232877,475,296.1
0.071232877,500,271.6
0.071232877,525,247.3
0.071232877,550,223.3
0.071232877,575,199.5
0.071232877,600,176.15
0.071232877,625,153.3
0.071232877,650,131.15
0.071232877,700,89.75
0.071232877,750,54.3
0.071232877,780,37
0.071232877,800,27.45
0.071232877,850,11.1
0.071232877,875,6.3
0.071232877,900,3.3
0.071232877,925,1.625
0.071232877,950,0.975
0.071232877,975,0.5
0.071232877,1000,0.5
0.071232877,1025,0.5
0.071232877,1050,0.5
0.071232877,1075,0.5
0.071232877,1100,0.175
0.071232877,1150,0.15
0.071232877,1200,0.125
0.071232877,1250,0.1
0.071232877,1300,0.05
0.071232877,1350,0.05
0.071232877,1400,0.05
0.071232877,1450,0.05
0.071232877,1500,0.05
0.071232877,1550,0.05
0.147945205,200,568
0.147945205,300,468.4
0.147945205,350,418.75
0.147945205,375,394.05
0.147945205,400,369.35
0.147945205,425,344.75
0.147945205,450,320.25
0.147945205,480,291.05
0.147945205,490,281.4
0.147945205,500,271.75
0.147945205,510,262.15
0.147945205,515,257.35
0.147945205,520,252.6
0.147945205,525,247.75
0.147945205,530,242.95
0.147945205,540,233.45
0.147945205,550,224.05
0.147945205,560,214.75
0.147945205,570,205.45
0.147945205,575,200.85
0.147945205,580,196.3
0.147945205,585,191.75
0.147945205,590,187.2
0.147945205,600,178.15
0.147945205,605,173.7
0.147945205,610,169.25
0.147945205,615,164.85
0.147945205,620,160.45
0.147945205,625,156.05
0.147945205,630,151.75
0.147945205,635,147.45
0.147945205,640,143.15
0.147945205,645,138.95
0.147945205,650,134.75
0.147945205,655,130.55
0.147945205,660,126.45
0.147945205,665,122.35
0.147945205,670,118.35
0.147945205,675,114.35
0.147945205,680,110.35
0.147945205,685,106.45
0.147945205,690,102.65
0.147945205,695,98.85
0.147945205,700,95.05
0.147945205,705,91.35
0.147945205,710,87.75
0.147945205,715,84.15
0.147945205,720,80.65
0.147945205,725,77.15
0.147945205,730,73.65
0.147945205,735,70.25
0.147945205,740,67.05
0.147945205,745,63.85
0.147945205,750,60.65
0.147945205,755,57.65
0.147945205,760,54.65
0.147945205,765,51.85
0.147945205,770,49.05
0.147945205,775,46.4
0.147945205,780,43.85
0.147945205,785,41.35
0.147945205,790,38.9
0.147945205,795,36.55
0.147945205,800,34.3
0.147945205,805,32.1
0.147945205,810,30
0.147945205,815,27.9
0.147945205,820,25.9
0.147945205,825,23.65
0.147945205,830,22.15
0.147945205,835,20.5
0.147945205,840,18.85
0.147945205,845,17.35
0.147945205,850,16.3
0.147945205,855,14.6
0.147945205,860,13.35
0.147945205,865,12.15
0.147945205,870,11.45
0.147945205,875,10.35
0.147945205,880,9.4
0.147945205,885,8.4
0.147945205,890,7.6
0.147945205,895,6.8
0.147945205,900,5.85
0.147945205,905,5.7
0.147945205,910,5.1
0.147945205,915,4.35
0.147945205,920,4
0.147945205,925,3.75
0.147945205,930,3.3
0.147945205,935,2.8
0.147945205,940,2.5
0.147945205,945,2.2
0.147945205,950,2.2
0.147945205,960,1.425
0.147945205,970,1.025
0.147945205,975,1
0.147945205,980,0.75
0.147945205,990,0.6
0.147945205,1000,0.75
0.147945205,1010,0.6
0.147945205,1020,0.6
0.147945205,1025,0.625
0.147945205,1030,0.6
0.147945205,1040,0.6
0.147945205,1050,0.225
0.147945205,1060,0.6
0.147945205,1075,0.65
0.147945205,1090,0.6
0.147945205,1100,0.65
0.147945205,1125,0.6
0.147945205,1150,0.6
0.147945205,1175,0.6
0.147945205,1200,0.6
0.147945205,1225,0.575
0.147945205,1250,0.575
0.147945205,1275,0.575
0.147945205,1300,0.575
0.224657534,200,566.25
0.224657534,300,466.95
0.224657534,350,417.65
0.224657534,400,368.65
0.224657534,450,320.35
0.224657534,490,282.25
0.224657534,500,272.75
0.224657534,515,258.75
0.224657534,525,249.45
0.224657534,540,235.65
0.224657534,550,226.55
0.224657534,560,217.55
0.224657534,590,190.95
0.224657534,600,182.35
0.224657534,625,161.25
0.224657534,650,140.85
0.224657534,675,121.35
0.224657534,700,103.05
0.224657534,725,85.95
0.224657534,750,70.15
0.224657534,775,55.95
0.224657534,800,43.75
0.224657534,825,33.1
0.224657534,850,24.05
0.224657534,875,17
0.224657534,900,11.8
0.224657534,925,7.5
0.224657534,950,5
0.224657534,975,3
0.224657534,1000,1.6
0.224657534,1025,0.75
0.224657534,1050,0.6
0.224657534,1060,0.6
0.224657534,1075,0.6
0.224657534,1100,0.6
0.224657534,1125,0.6
0.224657534,1150,0.6
0.224657534,1175,0.6
0.224657534,1200,0.6
0.224657534,1225,0.575
0.224657534,1250,0.575
0.224657534,1275,0.575
0.224657534,1300,0.575
0.320547945,200,564.15
0.320547945,300,465.45
0.320547945,350,416.55
0.320547945,400,368.35
0.320547945,440,330.25
0.320547945,450,320.85
0.320547945,465,306.85
0.320547945,475,297.55
0.320547945,500,274.65
0.320547945,510,265.55
0.320547945,515,261.05
0.320547945,525,252.05
0.320547945,550,229.95
0.320547945,565,216.95
0.320547945,575,208.45
0.320547945,585,199.95
0.320547945,600,187.35
0.320547945,615,175.15
0.320547945,625,167.15
0.320547945,635,159.25
0.320547945,650,147.65
0.320547945,675,129.05
0.320547945,685,121.75
0.320547945,700,111.35
0.320547945,715,101.25
0.320547945,725,94.75
0.320547945,735,88.45
0.320547945,750,79.45
0.320547945,775,65.3
0.320547945,785,60.2
0.320547945,800,53
0.320547945,815,46.15
0.320547945,825,41.95
0.320547945,835,37.9
0.320547945,850,32.35
0.320547945,875,24.5
0.320547945,885,21.5
0.320547945,900,17.75
0.320547945,925,12.5
0.320547945,950,9.1
0.320547945,975,6.25
0.320547945,1000,3.85
0.320547945,1025,2.6
0.320547945,1050,1.775
0.320547945,1075,0.9
0.320547945,1100,0.95
0.320547945,1125,0.65
0.320547945,1150,0.65
0.320547945,1175,0.65
0.320547945,1180,0.625
0.320547945,1185,0.625
0.320547945,1190,0.625
0.320547945,1195,0.625
0.320547945,1200,0.55
0.320547945,1225,0.65
0.320547945,1250,0.4
0.320547945,1275,0.35
0.320547945,1300,0.325
0.320547945,1325,0.3
0.320547945,1350,0.275
0.320547945,1375,0.425
0.320547945,1400,0.625
0.320547945,1425,0.625
0.320547945,1450,0.625
0.320547945,1475,0.6
0.320547945,1500,0.6
0.320547945,1525,0.6
0.320547945,1550,0.6
0.320547945,1575,0.6
0.320547945,1600,0.6
0.320547945,1650,0.6
0.320547945,1700,0.575
0.320547945,1800,0.575
0.320547945,1900,0.575
0.320547945,490,283.75
0.320547945,600,188.85
